# Phase	Sprint	Numbered DoD items
00-scaffolding	0	8
00-scaffolding	1	8
00-scaffolding	2	8
01-preprocessor	3	7
01-preprocessor	4	7
01-preprocessor	5	8
01-preprocessor	6	7
01-preprocessor	7	7
02-frontend	8	6
02-frontend	9	6
02-frontend	10	6
02-frontend	11	6
03-sema	12	7
03-sema	13	6
03-sema	14	7
03-sema	15	7
03-sema	16	7
04-ir	17	7
04-ir	18	6
04-ir	19	6
04-ir	20	7
05-backend-x86_64	21	5
05-backend-x86_64	22	6
05-backend-x86_64	23	6
05-backend-x86_64	24	6
05-backend-x86_64	25	7
06-driver	26	7
06-driver	27	8
06-driver	28	7
06-driver	29	8
07-optimizations	30	7
07-optimizations	31	7
07-optimizations	32	7
07-optimizations	33	7
07-optimizations	34	7
07-optimizations	35	7
07-optimizations	36	11
08-warnings	37	8
08-warnings	38	6
08-warnings	39	7
08-warnings	40	7
09-memory-safety	41	6
09-memory-safety	42	7
09-memory-safety	43	7
09-memory-safety	44	7
09-memory-safety	45	7
09-memory-safety	46	7
10-backend-arm64	47	6
10-backend-arm64	48	6
10-backend-arm64	49	7
10-backend-arm64	50	6
10-backend-arm64	51	7
11-performance	52	7
11-performance	53	7
11-performance	54	8
12-campaigns	55	7
12-campaigns	56	6
12-campaigns	57	7
12-campaigns	58	7
12-campaigns	59	7
13-audits	60	7
13-audits	61	8
